"Split","Time","Moving Time","GetDistance","Elevation Gain","Elev Loss","Avg Pace","Avg Moving Pace","Best Pace","Avg Run Cadence","Max Run Cadence","Avg Stride Length","Avg HR","Max HR","Avg Temperature","Calories"
"1","00:06:43    ","00:06:43    ","0.71","53","1","00:09:30    ","00:09:15    ","00:06:20    ","82","95","64","138","153","30","63"
"2","00:00:30    ","00:00:30    ","0.05","2","0","00:10:24    ","00:12:34    ","00:09:47    ","83","84","58","139","149","29","5"
"3","00:00:10    ","00:00:10    ","0.01","0","0","00:12:36    ","00:10:45    ","00:10:32    ","82","83","56","151","152","29","2"
"4","00:00:30    ","00:00:30    ","0.03","0","0","00:16:27    ","00:16:36    ","00:12:04    ","75","82","42","150","152","29","5"
"5","00:00:10    ","00:00:10    ","0","0","0","00:19:23    ","00:16:23    ","00:16:05    ","75","77","41","152","154","29","2"
"6","00:00:30    ","00:00:30    ","0.04","0","0","00:13:51    ","00:14:32    ","00:13:30    ","86","93","40","151","154","29","5"
"7","00:00:10    ","00:00:10    ","0.01","0","0","00:13:56    ","00:13:16    ","00:13:10    ","89","89","42","147","149","29","2"
"8","00:00:30    ","00:00:30    ","0.04","0","0","00:13:05    ","00:13:06    ","00:12:42    ","85","89","45","144","153","29","5"
"9","00:00:10    ","00:00:10    ","0","0","0","00:31:20    ","00:11:50    ","00:06:46    ","79","79","47","154","155","29","2"
"10","00:00:30    ","00:00:30    ","0.03","0","0","00:17:17    ","00:19:14    ","00:18:08    ","79","80","33","150","155","29","5"
"11","00:00:10    ","00:00:10    ","0.01","0","0","00:14:58    ","00:17:39    ","00:17:12    ","77","78","36","155","155","29","2"
"12","00:00:30    ","00:00:30    ","0.03","0","0","00:16:06    ","00:16:39    ","00:16:12    ","83","86","36","151","153","29","5"
"13","00:00:10    ","00:00:10    ","0","0","0","00:20:32    ","00:15:54    ","00:15:45    ","86","86","36","145","147","29","2"
"14","00:00:30    ","00:00:30    ","0.04","0","0","00:12:26    ","00:12:12    ","00:11:14    ","80","86","50","144","154","29","5"
"15","00:00:10    ","00:00:10    ","0.01","0","0","00:16:13    ","00:12:12    ","00:11:50    ","76","79","55","156","157","29","2"
"16","00:00:30    ","00:00:30    ","0.03","0","0","00:17:45    ","00:18:06    ","00:14:31    ","73","79","41","156","158","29","6"
"17","00:00:10    ","00:00:10    ","0","0","0","00:17:30    ","00:17:15    ","00:16:59    ","78","78","37","160","161","29","2"
"18","00:00:30    ","00:00:30    ","0.04","0","0","00:13:09    ","00:15:16    ","00:13:36    ","84","87","39","153","157","29","5"
"19","00:00:10    ","00:00:10    ","0.02","0","0","00:11:01    ","00:12:48    ","00:12:06    ","80","87","56","151","152","29","2"
"20","00:09:33    ","00:09:33    ","0.81","41","14","00:11:45    ","00:09:33    ","00:06:01    ","67","91","63","135","159","29","86"
"21","00:01:30    ","00:01:30    ","0.26","22","0","00:05:42    ","00:05:44    ","00:04:47    ","91","105","96","158","177","29","18"
"22","00:02:30    ","00:02:30    ","0.29","2","24","00:08:46    ","00:08:14    ","00:05:30    ","80","105","71","139","178","28","24"
"23","00:01:30    ","00:01:30    ","0.25","20","1","00:05:54    ","00:06:24    ","00:04:56    ","89","94","95","154","176","28","17"
"24","00:02:30    ","00:02:30    ","0.31","4","24","00:08:12    ","00:07:53    ","00:05:22    ","84","105","72","148","177","28","26"
"25","00:01:30    ","00:01:30    ","0.25","21","0","00:05:54    ","00:06:07    ","00:04:52    ","89","95","95","155","176","28","17"
"26","00:02:30    ","00:02:30    ","0.34","3","25","00:07:17    ","00:07:01    ","00:04:54    ","81","96","84","148","177","28","26"
"27","00:01:18    ","00:01:18    ","0.12","0","6","00:11:09    ","00:10:31    ","00:10:12    ","59","61","76","105","121","28","8"
"28","00:01:00    ","00:01:00    ","0.26","0","3","00:03:53    ","00:04:11    ","00:03:39    ","104","112","124","140","173","28","10"
"29","00:01:30    ","00:01:30    ","0.28","0","18","00:05:19    ","00:05:07    ","00:03:53    ","86","106","109","166","175","28","18"
"30","00:01:00    ","00:01:00    ","0.21","6","1","00:04:42    ","00:04:56    ","00:04:32    ","103","109","103","165","176","28","12"
"31","00:01:30    ","00:01:30    ","0.15","0","1","00:10:01    ","00:08:58    ","00:03:54    ","63","113","79","151","176","28","16"
"32","00:10:00    ","00:10:00    ","1.20","21","24","00:08:19    ","00:07:46    ","00:05:59    ","72","97","83","138","159","28","93"
"33","00:04:46    ","00:04:46    ","0.66","14","45","00:07:11    ","00:07:00    ","00:05:53    ","87","111","80","150","162","29","50"
"Summary","00:55:22    ","00:55:22    ","6.53","209","187","00:08:29    ","00:08:03    ","00:03:39    ","78","113","75","143","178","29","546"
